votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area_in_square_miles,tot_male,tot_female,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_male,ethnic_female
709,0.025,47313.0,0.6334071922025118,0.16,0.03440187647,0.01209677419,-0.3098963144924987,0.2243215643798068,0.6995791145769059,-0.6935979873925188,0.562698413,0,Sioux County,NE,GTE Bachelor's,MAINLINE CHRISTIAN,0.30952380900000004,0.26666666699999997,0.31825396699999997,MULTI ,NATIVE AMERICAN 
208980,0.077,41895.0,0.17637205473116518,0.233,0.1202821044,0.1928272981,1.6695769481394096,-0.29154640858858866,-1.3124502445555166,1.3243317412689395,0.336062292,1,Baltimore city,MD,Some College,MAINLINE CHRISTIAN,0.184607517,0.322959433,0.43520211499999994,WHITE ,WHITE 
77261,0.027000000000000003,61908.0,1.7224376003237258,0.11,0.056108021179999995,0.05049699146,0.18599903360949704,-0.15385783318014862,-0.5101440695178668,0.5196727661159943,0.478746081,1,Chittenden County,VT,High School,MAINLINE CHRISTIAN,0.200555204,0.34270240900000004,0.38566259,ASIAN ,BLACK 
7471,0.125,43245.0,0.11939605945759876,0.174,0.06386687797,0.1007853403,-0.296326069322386,1.6908635379221977,-0.7795702564796936,-0.050864306233949136,1.17820533,0,Prince of Wales-Hyder Census Area,AK,GTE Bachelor's,OTHER MISC,0.196937855,0.319733914,0.390365411,BLACK ,BLACK 
136392,0.039,66560.0,2.2950025251343966,0.08199999999999999,0.04265532508,0.052548793729999994,0.292995688912641,-0.10104652809745764,-0.5712183482136114,0.5809261479701415,0.601800212,0,St. Johns County,FL,High School,MAINLINE CHRISTIAN,0.232125838,0.286295446,0.377837098,BLACK ,BLACK 
14277,0.062,37968.0,-0.42073637573581085,0.217,0.09650803963,0.14142552930000002,-0.21315720562090656,-0.1436052898505415,-0.44533283538669727,0.4546714700310685,0.454117497,0,Jefferson Davis Parish,LA,LT High School,NON-CATHOLIC CHRISTIAN,0.205699927,0.34848436600000005,0.37176755100000003,BLACK ,BLACK 
22129,0.028999999999999998,57142.0,0.8795434917843188,0.10400000000000001,0.04584937552999999,0.06,-0.1743503933971473,-0.17143548706491313,-0.31040432277882174,0.31934727329424323,0.515023157,0,Sullivan County,NH,Some College,MAINLINE CHRISTIAN,0.260222962,0.261875392,0.37184350699999996,MULTI ,BLACK 
1206,0.028999999999999998,45710.0,1.5911298450624913,0.102,0.019728189389999998,0.01851851852,-0.3065995882647312,-0.05738834689919683,-0.6194797247072804,0.6293290531915102,0.511233574,0,Adams County,ND,GTE Bachelor's,MAINLINE CHRISTIAN,0.314540058,0.256040694,0.318779144,MULTI ,BLACK 
7678,0.059000000000000004,43562.0,-0.2200055616181692,0.147,0.04537676659,0.06067610517,-0.2609150128933136,-0.15910423143516153,0.7059821130143739,-0.700019762920243,0.468427796,0,Crawford County,WI,GTE Bachelor's,MAINLINE CHRISTIAN,0.263498261,0.279848698,0.346409614,BLACK ,BLACK 
3598,0.065,36128.0,-1.170540473535945,0.239,0.09752977069,0.17667322829999998,-0.27571833589668043,-0.2499826083761518,-3.058411978287569,3.0754135888630567,0.315724816,0,Pulaski County,GA,LT High School,MAINLINE CHRISTIAN,0.23113373100000004,0.27711477799999995,0.38917164000000004,BLACK ,BLACK 
45895,0.048,48194.0,-0.2142203067134686,0.145,0.05951874841,0.08262810378999999,0.005020902813264476,-0.11674655114829768,0.2924704983323774,-0.2852955062257966,0.465594027,0,Lenawee County,MI,GTE Bachelor's,MAINLINE CHRISTIAN,0.228652876,0.30805595900000005,0.371521614,BLACK ,BLACK 
29799,0.071,42036.0,-0.37375309347945457,0.19,0.08825260356999999,0.145101761,-0.05333306811951544,-0.08022023338181403,-0.1278230953881938,0.13623061797570024,0.375860851,0,Vermilion County,IL,GTE Bachelor's,CATHOLIC,0.225839408,0.325723367,0.36305845,BLACK ,BLACK 
24232,0.062,51025.0,0.48895113033968496,0.113,0.05117396705,0.07211197731999999,-0.15280667083894575,-0.09997322312841317,-0.1039093156526064,0.11224670997053983,0.489644163,0,Henry County,IL,GTE Bachelor's,MAINLINE CHRISTIAN,0.242437713,0.300309159,0.36032249599999994,BLACK ,BLACK 
16661,0.057,45283.0,0.09362537851847796,0.156,0.06485893524,0.09471153846,-0.21520807600678518,-0.01563391101099302,0.030607269368475555,-0.022664351182709718,0.555755696,0,Delta County,CO,GTE Bachelor's,MAINLINE CHRISTIAN,0.283164883,0.266386469,0.319156742,MULTI ,NATIVE AMERICAN 
5069,0.031,43453.0,-0.5280265576048037,0.249,0.1563517915,0.1384548611,-0.26979572889447023,-0.2066247436534144,-0.27538235398686783,0.2842226009524758,0.36300487,1,Clay County,SD,Some College,MAINLINE CHRISTIAN,0.14981380700000002,0.5002148390000001,0.293826983,ASIAN ,NATIVE AMERICAN 
16098,0.051,39779.0,-0.47473208817968304,0.16899999999999998,0.06194013546,0.09026527428,-0.19619759366042436,-0.15842003216049086,-0.36602461162344285,0.3751306712187619,0.432486164,0,Boone County,AR,GTE Bachelor's,OTHER MISC,0.23655365100000003,0.295900274,0.36110364799999994,MULTI ,NATIVE AMERICAN 
23860,0.044000000000000004,49400.0,0.4445975094036471,0.129,0.06342654987,0.10536858970000001,-0.15664326793153177,-0.26021948302007947,-0.8227113103348165,0.8331566248814396,0.473647643,0,Franklin County,KY,GTE Bachelor's,MAINLINE CHRISTIAN,0.21937469,0.307732009,0.38546898399999996,BLACK ,BLACK 
8542,0.036000000000000004,51514.0,0.890938690839032,0.115,0.03026356589,0.03598117908,-0.2608415393436638,-0.16605590498162462,-0.3654214561210926,0.37452574693488955,0.517477434,0,Clay County,IA,GTE Bachelor's,CATHOLIC,0.254861573,0.302417155,0.353001755,MULTI ,BLACK 
10123,0.084,33869.0,-0.8825049035837307,0.228,0.09562661531,0.2019470794,-0.24708920755050573,-0.19969918458308378,0.09850789270132697,-0.09076409624661706,0.502257504,1,Warren County,NC,LT High School,MAINLINE CHRISTIAN,0.28107169499999995,0.265492434,0.34224758199999994,WHITE ,WHITE 
2921,0.039,42006.0,-0.28451991934331516,0.16699999999999998,0.03669432036,0.02194148936,-0.2936299095004521,-0.17792232293621832,-0.7413444866932932,0.7515511892511277,0.457478465,0,Wayne County,IA,GTE Bachelor's,OTHER CHRISTIAN,0.27251370399999997,0.312920907,0.318872358,MULTI ,BLACK 
18113,0.055999999999999994,46387.0,-0.30099913028397746,0.16699999999999998,0.06506514658000001,0.1142265713,-0.15283542135837397,-0.08091226699932444,-0.0436120442247787,0.05177261399420752,0.370833675,0,Chenango County,NY,GTE Bachelor's,MAINLINE CHRISTIAN,0.252477275,0.284763737,0.35994185700000003,MULTI ,BLACK 
14530,0.039,50078.0,0.05067424361994327,0.128,0.056421065490000005,0.08215801725,-0.20488025052774222,-0.23137343268415478,0.3324612787615797,-0.32540356147567223,0.422727802,0,Steuben County,IN,GTE Bachelor's,MAINLINE CHRISTIAN,0.23455138,0.30766321399999996,0.35467822700000007,BLACK ,BLACK 
9491,0.084,44395.0,0.32661337149869263,0.136,0.045534032819999994,0.08194905868999999,-0.26612205141197737,0.2175866409852432,0.46082079428355527,-0.45413949723759606,0.633705014,1,Bayfield County,WI,GTE Bachelor's,MAINLINE CHRISTIAN,0.31374774600000005,0.23449288899999998,0.31368097800000005,NATIVE AMERICAN ,NATIVE AMERICAN 
11374,0.052000000000000005,37667.0,-0.8660256926430684,0.159,0.09983778204,0.16855895199999998,-0.22740468524866145,-0.20671092142465153,-0.516104314627136,0.5256504899208246,0.400084421,0,Union County,MS,LT High School,MAINLINE CHRISTIAN,0.192866439,0.33588941,0.386366036,BLACK ,BLACK 
7619,0.052000000000000005,43647.0,-0.30187568405741694,0.18,0.0595330507,0.1087187666,-0.26005888631478485,-0.25448996695661585,-0.37422304024939806,0.3833531421173788,0.442014272,0,Garrard County,KY,LT High School,MAINLINE CHRISTIAN,0.232929163,0.291175959,0.38568196299999996,BLACK ,BLACK 
1947,0.039,50155.0,0.42145648978484473,0.12,0.08103975535,0.09911504425,-0.29921070477168255,-0.08415307348736377,2.022633204637729,-2.020531995011616,0.40826169,0,Marshall County,SD,GTE Bachelor's,CATHOLIC,0.252883203,0.302998532,0.34996854699999996,NATIVE AMERICAN ,NATIVE AMERICAN 
16538,0.078,40642.0,-0.43844276195928844,0.162,0.05627276794,0.09014232999,-0.21121494830842338,-0.1821972626791034,-0.5149207054495611,0.5244634097543703,0.5344666,0,Stone County,MO,GTE Bachelor's,CATHOLIC,0.306919173,0.22990660300000001,0.305561839,MULTI ,NATIVE AMERICAN 
1535,0.022000000000000002,43523.0,-0.6184869070237583,0.124,0.06585436612,0.1250583294,-0.2926715588528453,0.07750597956306905,0.6645189182549806,-0.658434975416778,0.215559612,0,Dallam County,TX,LT High School,MAINLINE CHRISTIAN,0.13888498800000001,0.41511023700000005,0.400786406,NATIVE AMERICAN ,NATIVE AMERICAN 
42489,0.042,52349.0,0.6000981488118114,0.132,0.06557432777,0.09257319567,-0.025505759815171766,-0.2739530860181446,-0.3761488141292082,0.3852845634185144,0.461505876,0,Campbell County,KY,GTE Bachelor's,NON-CATHOLIC CHRISTIAN,0.20624334700000002,0.32122607599999997,0.400908044,BLACK ,BLACK 
25638,0.06,33876.0,-0.8051928607663683,0.29,0.09556406143,0.1434857471,-0.11145384039471101,-0.0683851527985793,-0.3730678196389435,0.3821945337688336,0.402328793,0,Sampson County,NC,LT High School,CATHOLIC,0.212290503,0.328604606,0.37111606199999997,BLACK ,BLACK 
4818,0.032,65738.0,1.3646283500057288,0.08199999999999999,0.046171171170000004,0.054339010539999996,-0.28295068878395335,0.23367838117807024,0.84357680402286,-0.8380179567496515,0.402842809,0,Richland County,MT,GTE Bachelor's,MAINLINE CHRISTIAN,0.20142140499999997,0.35610367800000003,0.384615385,MULTI ,NATIVE AMERICAN 
17415,0.064,32662.0,-0.9265079030103928,0.221,0.09035977744,0.1455461839,-0.18502641961148739,-0.07314582179752831,-0.5652679420671909,0.5749582919813728,0.434105242,0,Howell County,MO,LT High School,MAINLINE CHRISTIAN,0.22636288999999998,0.320038886,0.36062018500000004,MULTI ,NATIVE AMERICAN 
25253,0.068,45331.0,-0.13199956276484506,0.183,0.07168173724,0.1122207622,-0.12880637612071202,0.08711871822743068,-0.6541404049781109,0.6640913775167837,0.421762004,0,Vermilion Parish,LA,Some College,MAINLINE CHRISTIAN,0.19856367499999997,0.341127348,0.3877244269999999,BLACK ,BLACK 
1420,0.051,35502.0,-0.20054606784781265,0.184,0.056579783849999996,0.07836990596,-0.3035136991794372,-0.1836413932092289,-0.024059903799805465,0.032163136009482764,0.455858748,0,Woodson County,KS,GTE Bachelor's,MAINLINE CHRISTIAN,0.294060995,0.266131621,0.339325843,MULTI ,NATIVE AMERICAN 
252911,0.063,60397.0,0.7915374929309946,0.131,0.05739559632,0.07644935558,2.226263672321265,0.1561575587788376,-0.12168552328335897,0.13007504715565518,0.299673916,1,Pierce County,WA,GTE Bachelor's,OTHER,0.186747145,0.33805870800000004,0.410908652,BLACK ,BLACK 
4143,0.053,49790.0,-0.1570690006852143,0.14,0.0773527626,0.08098028769000001,-0.287068402066504,-0.20175439385470903,-0.37457588892624616,0.3837070255393521,0.505243902,0,Hamilton County,IL,GTE Bachelor's,CATHOLIC,0.251951221,0.29207317200000005,0.35170731699999996,MULTI ,BLACK 
412929,0.047,80037.0,2.6077569114976042,0.079,0.030875407049999998,0.03758787435,2.6150313905316107,-0.22773307471128865,-0.42568781154180096,0.434968836241486,0.442233137,1,DuPage County,IL,High School,MAINLINE CHRISTIAN,0.205581663,0.317389497,0.402021556,ASIAN ,BLACK 
7471,0.09699999999999999,67260.0,1.447375026218416,0.098,0.02662957075,0.00431034483,-0.3060724954085475,0.3961652631219023,-0.7795702564796936,-0.050864306233949136,2.948303078,0,Haines Borough,AK,High School,OTHER MISC,0.196937855,0.319733914,0.390365411,BLACK ,BLACK 
